TEXT,LATITUDE,LONGITUDE,ALTITUDE,TYPE
1964,40.3451095,-74.1840322,3287,year
1965,40.3451095,-74.1840322,3653,year
1966,40.3451095,-74.1840322,4018,year
1967,40.3451095,-74.1840322,4383,year
1968,40.3451095,-74.1840322,4748,year
1969,40.3451095,-74.1840322,5114,year
1970,40.3451095,-74.1840322,5479,year
1971,40.3451095,-74.1840322,5844,year
1972,40.3451095,-74.1840322,6209,year
1973,40.3451095,-74.1840322,6575,year
1974,40.3451095,-74.1840322,6940,year
1975,40.3451095,-74.1840322,7305,year
1976,40.3451095,-74.1840322,7670,year
1977,40.3451095,-74.1840322,8036,year
1978,40.3451095,-74.1840322,8401,year
1979,40.3451095,-74.1840322,8766,year
1980,40.3451095,-74.1840322,9131,year
1981,40.3451095,-74.1840322,9497,year
1982,40.3451095,-74.1840322,9862,year
1983,40.3451095,-74.1840322,10227,year
1984,40.3451095,-74.1840322,10592,year
1985,40.3451095,-74.1840322,10958,year
1986,40.3451095,-74.1840322,11323,year
1987,40.3451095,-74.1840322,11688,year
1955,40.7127281,-74.0060152,0,year
1956,40.7127281,-74.0060152,365,year
1957,40.7127281,-74.0060152,731,year
1958,40.7127281,-74.0060152,1096,year
1959,40.7127281,-74.0060152,1461,year
1960,40.7127281,-74.0060152,1826,year
1961,40.7127281,-74.0060152,2192,year
1962,40.7127281,-74.0060152,2557,year
1963,40.7127281,-74.0060152,2922,year
1964,40.7127281,-74.0060152,3287,year
1965,40.7127281,-74.0060152,3653,year
1966,40.7127281,-74.0060152,4018,year
1967,40.7127281,-74.0060152,4383,year
1968,40.7127281,-74.0060152,4748,year
1969,40.7127281,-74.0060152,5114,year
1970,40.7127281,-74.0060152,5479,year
1971,40.7127281,-74.0060152,5844,year
1972,40.7127281,-74.0060152,6209,year
1973,40.7127281,-74.0060152,6575,year
1974,40.7127281,-74.0060152,6940,year
1975,40.7127281,-74.0060152,7305,year
1976,40.7127281,-74.0060152,7670,year
1977,40.7127281,-74.0060152,8036,year
1978,40.7127281,-74.0060152,8401,year
1979,40.7127281,-74.0060152,8766,year
1980,40.7127281,-74.0060152,9131,year
1981,40.7127281,-74.0060152,9497,year
1982,40.7127281,-74.0060152,9862,year
1983,40.7127281,-74.0060152,10227,year
1984,40.7127281,-74.0060152,10592,year
1985,40.7127281,-74.0060152,10958,year
1986,40.7127281,-74.0060152,11323,year
1987,40.7127281,-74.0060152,11688,year
1988,40.7127281,-74.0060152,12053,year
1989,40.7127281,-74.0060152,12419,year
1955,45.1692628,10.67083652,0,year
1956,45.1692628,10.67083652,365,year
1957,45.1692628,10.67083652,731,year
1958,45.1692628,10.67083652,1096,year
1959,45.1692628,10.67083652,1461,year
1960,45.1692628,10.67083652,1826,year
1961,45.1692628,10.67083652,2192,year
1962,45.1692628,10.67083652,2557,year
1963,45.1692628,10.67083652,2922,year
1964,45.1692628,10.67083652,3287,year
1965,45.1692628,10.67083652,3653,year
1966,45.1692628,10.67083652,4018,year
1967,45.1692628,10.67083652,4383,year
